iter	Passed	Remaining
414	2102	2964
415	2105	2956
416	2107	2946
417	2109	2937
418	2111	2928
419	2113	2918
420	2114	2908
421	2116	2898
422	2120	2892
423	2122	2882
424	2124	2873
425	2125	2864
426	2127	2854
427	2128	2845
428	2130	2835
429	2132	2826
430	2136	2820
431	2138	2811
432	2139	2802
433	2141	2792
434	2143	2783
435	2144	2774
436	2146	2764
437	2149	2757
438	2151	2749
439	2152	2739
440	2153	2730
441	2155	2720
442	2156	2711
443	2157	2702
444	2159	2692
445	2160	2683
446	2167	2681
447	2170	2674
448	2172	2666
449	2175	2658
450	2176	2649
451	2182	2646
452	2185	2639
453	2188	2632
454	2190	2624
455	2198	2622
456	2204	2619
457	2212	2618
458	2214	2610
459	2216	2602
460	2218	2593
461	2219	2584
462	2221	2576
463	2228	2573
464	2230	2566
465	2232	2557
466	2234	2549
467	2235	2541
468	2242	2538
469	2244	2530
470	2246	2523
471	2249	2516
472	2251	2508
473	2257	2505
474	2260	2497
475	2263	2491
476	2267	2486
477	2275	2484
478	2278	2478
479	2281	2471
480	2294	2475
481	2297	2469
482	2306	2468
483	2312	2465
484	2314	2457
485	2317	2451
486	2321	2445
487	2323	2437
488	2325	2429
489	2326	2421
490	2329	2414
491	2333	2409
492	2335	2401
493	2341	2398
494	2355	2403
495	2364	2403
496	2366	2395
497	2368	2387
498	2370	2380
499	2372	2372
500	2374	2364
501	2375	2356
502	2379	2350
503	2380	2343
504	2382	2335
505	2384	2327
506	2385	2319
507	2387	2312
508	2389	2305
509	2394	2300
510	2400	2296
511	2402	2289
512	2404	2282
513	2417	2285
514	2435	2293
515	2438	2287
516	2458	2296
517	2465	2294
518	2468	2287
519	2481	2290
520	2497	2296
521	2513	2301
522	2517	2295
523	2525	2293
524	2527	2286
525	2531	2281
526	2534	2274
527	2539	2270
528	2541	2262
529	2543	2255
530	2546	2248
531	2549	2242
532	2555	2238
533	2557	2231
534	2560	2225
535	2563	2219
536	2568	2214
537	2570	2207
538	2572	2200
539	2573	2192
540	2575	2184
541	2576	2177
542	2577	2169
543	2579	2162
544	2584	2157
545	2585	2149
546	2588	2143
547	2593	2138
548	2602	2138
549	2605	2131
550	2608	2125
551	2611	2119
552	2616	2115
553	2619	2108
554	2621	2102
555	2623	2094
556	2630	2091
557	2635	2087
558	2638	2081
559	2641	2075
560	2654	2076
561	2666	2078
562	2668	2071
563	2671	2065
564	2677	2061
565	2680	2055
566	2686	2051
567	2698	2052
568	2702	2047
569	2716	2049
570	2718	2042
571	2728	2041
572	2768	2063
573	2776	2060
574	2793	2064
575	2802	2062
576	2809	2059
577	2822	2060
578	2830	2058
579	2833	2051
580	2837	2046
581	2840	2040
582	2844	2034
583	2850	2030
584	2860	2029
585	2862	2022
586	2865	2016
587	2874	2013
588	2887	2014
589	2903	2017
590	2906	2011
591	2908	2004
592	2949	2024
593	2951	2017
594	2956	2012
595	3004	2036
596	3081	2079
597	3086	2074
598	3089	2068
599	3092	2061
600	3095	2055
601	3097	2048
602	3100	2041
603	3119	2045
604	3172	2071
605	3188	2073
606	3206	2076
607	3209	2069
608	3214	2063
609	3282	2098
610	3285	2091
611	3291	2086
612	3299	2083
613	3371	2119
614	3373	2112
615	3375	2104
616	3380	2098
617	3385	2092
618	3387	2085
619	3389	2077
620	3397	2073
621	3480	2115
622	3484	2108
623	3487	2101
624	3498	2098
625	3514	2099
626	3541	2107
627	3545	2100
628	3547	2092
629	3554	2087
630	3557	2080
631	3559	2072
632	3561	2064
633	3569	2060
634	3572	2053
635	3576	2046
636	3646	2077
637	3698	2098
638	3706	2093
639	3710	2087
640	3712	2079
641	3714	2071
642	3717	2063
643	3719	2056
644	3721	2048
645	3723	2040
646	3725	2032
647	3728	2025
648	3735	2020
649	3737	2012
650	3739	2004
651	3742	1997
652	3755	1995
653	3757	1987
654	3758	1979
655	3761	1972
656	3763	1964
657	3765	1957
658	3766	1949
659	3768	1941
660	3770	1933
661	3771	1925
662	3772	1917
663	3774	1910
664	3777	1902
665	3779	1895
666	3782	1888
667	3784	1881
668	3788	1874
669	3792	1868
670	3795	1860
671	3797	1853
672	3799	1846
673	3801	1838
674	3803	1831
675	3807	1824
676	3811	1818
677	3813	1811
678	3817	1804
679	3820	1797
680	3826	1792
681	3828	1785
682	3830	1777
683	3831	1770
684	3836	1764
685	3838	1757
686	3840	1749
687	3842	1742
688	3844	1735
689	3846	1728
690	3851	1722
691	3857	1716
692	3862	1710
693	3872	1707
694	3882	1704
695	3895	1701
696	3897	1694
697	3900	1687
698	3903	1680
699	3909	1675
700	3912	1668
701	3915	1662
702	3919	1655
703	3924	1650
704	3926	1643
705	3930	1636
706	3933	1630
707	3940	1625
708	3943	1618
709	3946	1611
710	3948	1604
711	3954	1599
712	3956	1592
713	3958	1585
714	3960	1578
715	3961	1571
716	3963	1564
717	3967	1558
718	3970	1551
719	3975	1546
720	3978	1539
721	3985	1534
722	3987	1527
723	3990	1521
724	3992	1514
725	3993	1507
726	3995	1500
727	4000	1494
728	4001	1487
729	4004	1481
730	4006	1474
731	4008	1467
732	4009	1460
733	4014	1454
734	4016	1448
735	4018	1441
736	4020	1434
737	4029	1430
738	4034	1424
739	4036	1418
740	4114	1438
741	4120	1432
742	4123	1426
743	4130	1421
744	4132	1414
745	4134	1407
746	4136	1400
747	4146	1396
748	4162	1394
749	4166	1388
750	4168	1382
751	4171	1375
752	4174	1369
753	4176	1362
754	4179	1356
755	4181	1349
756	4183	1342
757	4189	1337
758	4193	1331
759	4196	1325
760	4202	1319
761	4204	1313
762	4207	1306
763	4210	1300
764	4214	1294
765	4220	1289
766	4227	1284
767	4233	1278
768	4236	1272
769	4240	1266
770	4242	1260
771	4247	1254
772	4249	1247
773	4251	1241
774	4254	1235
775	4256	1228
776	4258	1222
777	4263	1216
778	4266	1210
779	4270	1204
780	4273	1198
781	4279	1192
782	4281	1186
783	4282	1179
784	4284	1173
785	4285	1166
786	4292	1161
787	4295	1155
788	4296	1149
789	4298	1142
790	4300	1136
791	4309	1131
792	4310	1125
793	4315	1119
794	4317	1113
795	4322	1107
796	4325	1101
797	4328	1095
798	4331	1089
799	4332	1083
800	4337	1077
801	4339	1071
802	4342	1065
803	4344	1058
804	4345	1052
805	4348	1046
806	4352	1040
807	4354	1034
808	4356	1028
809	4358	1022
810	4359	1016
811	4361	1009
812	4365	1004
813	4367	998
814	4369	991
815	4370	985
816	4372	979
817	4374	973
818	4377	967
819	4382	961
820	4384	955
821	4385	949
822	4387	943
823	4389	937
824	4391	931
825	4395	925
826	4397	920
827	4399	913
828	4401	907
829	4402	901
830	4404	895
831	4408	890
832	4412	884
833	4416	878
834	4422	873
835	4427	868
836	4430	862
837	4431	856
838	4433	850
839	4435	844
840	4437	838
841	4440	833
842	4443	827
843	4445	821
844	4447	815
845	4450	810
846	4452	804
847	4456	798
848	4458	792
849	4459	787
850	4461	781
851	4462	775
852	4464	769
853	4465	763
854	4466	757
855	4468	751
856	4471	746
857	4473	740
858	4474	734
859	4475	728
860	4477	722
861	4478	716
862	4479	711
863	4481	705
864	4483	699
865	4487	694
866	4488	688
867	4489	682
868	4491	677
869	4492	671
870	4494	665
871	4495	659
872	4497	654
873	4500	648
874	4502	643
875	4504	637
876	4506	632
877	4508	626
878	4510	620
879	4511	615
880	4512	609
881	4516	604
882	4517	598
883	4519	593
884	4520	587
885	4522	581
886	4523	576
887	4525	570
888	4526	565
889	4528	559
890	4531	554
891	4533	548
892	4534	543
893	4536	537
894	4538	532
895	4539	526
896	4540	521
897	4542	515
898	4543	510
899	4547	505
900	4548	499
901	4550	494
902	4553	489
903	4556	483
904	4558	478
905	4563	473
906	4566	468
907	4568	462
908	4570	457
909	4571	452
910	4573	446
911	4578	441
912	4580	436
913	4582	431
914	4583	425
915	4585	420
916	4586	415
917	4588	409
918	4589	404
919	4593	399
920	4594	394
921	4597	388
922	4598	383
923	4599	378
924	4601	373
925	4602	367
926	4603	362
927	4607	357
928	4610	352
929	4612	347
930	4614	342
931	4616	336
932	4617	331
933	4619	326
934	4624	321
935	4626	316
936	4630	311
